order_id;tanggal;nama_produk;kategori;kota;qty;harga;total;status;kasir;customer_id
TX-0001;2025-03-23;Teh Botol;Minuman;Jakarta;2;5000;10000;completed;Citra;C1094
TX-0002;2025-01-14;Sabun Mandi;Perawatan;Yogyakarta;5;12000;60000;completed;Andi;C1003
TX-0003;2025-01-12;Air Mineral;Minuman;Bandung;5;4000;20000;completed;Eko;C1025
TX-0004;2025-03-25;Shampoo;Perawatan;Yogyakarta;2;28000;56000;completed;Dewi;C1035
TX-0005;2025-01-01;Deterjen;Perawatan;Bandung;3;22000;66000;completed;Dewi;C1027
TX-0006;2025-02-13;Teh Botol;Minuman;Jakarta;1;5000;5000;completed;Dewi;C1044
TX-0007;2025-03-19;minyak goreng;makanan;jakarta;5;18000;90000;Completed;dewi;C1048
TX-0008;2025-01-11;Kecap Manis;Makanan;Surabaya;3;9000;27000;completed;Eko;C1090
TX-0009;2025-01-09;Kopi Susu;Minuman;Bandung;1;25000;25000;cancelled;Citra;C1012
TX-0010;2025-02-18;Minyak Goreng;Makanan;Medan;2;18000;36000;completed;Citra;C1026
TX-0011;2025-03-27;Minyak Goreng;Makanan;Jakarta;6;18000;108000;completed;Eko;C1093
TX-0012;2025-02-01;Jus Jeruk;Minuman;Medan;3;12000;36000;pending;Dewi;C1081
TX-0013;2025-03-30;Kecap Manis;Makanan;Bandung;1;9000;9000;completed;Citra;C1004
TX-0014;2025-02-10;Beras Premium;Makanan;Surabaya;2;55000;110000;cancelled;Andi;C1072
TX-0015;2025-02-10;Air Mineral;Minuman;Medan;6;4000;24000;completed;Dewi;C1033
TX-0016;2025-01-18;Air Mineral;Minuman;Yogyakarta;3;4000;12000;completed;Eko;C1054
TX-0017;2025-03-16;Beras Premium;Makanan;Surabaya;2;55000;110000;completed;Budi;C1011
TX-0018;2025-01-07;Tisu;Perawatan;Jakarta;6;8000;48000;completed;Budi;C1087
TX-0019;2025-02-24;Pasta Gigi;Perawatan;Jakarta;4;15000;60000;completed;Dewi;C1059
TX-0020;2025-03-09;Minyak Goreng;Makanan;Yogyakarta;6;18000;108000;completed;Andi;C1087
TX-0021;2025-03-10;Deterjen;Perawatan;Surabaya;1;22000;22000;completed;Citra;C1020
TX-0022;2025-02-28;Kopi Susu;Minuman;Surabaya;2;25000;50000;completed;Eko;C1013
TX-0023;2025-03-22;minyak goreng;makanan;yogyakarta;2;18000;36000;Completed;eko;C1097
TX-0024;2025-01-21;Kecap Manis;Makanan;Yogyakarta;5;9000;45000;completed;Andi;C1002
TX-0025;2025-01-15;Gula Pasir;Makanan;Surabaya;1;14000;14000;completed;Budi;C1072
TX-0026;2025-01-11;Teh Botol;Minuman;Medan;5;5000;25000;completed;Andi;C1016
TX-0027;2025-03-26;Mie Instan;Makanan;Yogyakarta;3;3500;10500;completed;Budi;C1077
TX-0028;2025-02-24;Air Mineral;Minuman;Yogyakarta;6;4000;24000;completed;Budi;C1085
TX-0029;2025-03-25;Gula Pasir;Makanan;Medan;4;14000;56000;completed;Eko;C1028
TX-0030;2025-01-09;Gula Pasir;Makanan;Jakarta;5;14000;70000;completed;Eko;C1028
TX-0031;2025-01-01;Teh Botol;Minuman;Jakarta;1;5000;5000;cancelled;Budi;C1042
TX-0032;2025-01-10;Kecap Manis;Makanan;Bandung;6;9000;54000;completed;Citra;C1069
TX-0033;2025-01-17;Shampoo;Perawatan;Yogyakarta;4;28000;112000;completed;Eko;C1060
TX-0034;2025-02-22;Air Mineral;Minuman;Jakarta;6;4000;24000;completed;Andi;C1054
TX-0035;2025-02-22;Mie Instan;Makanan;Jakarta;1;3500;3500;completed;Andi;C1043
TX-0036;2025-01-14;Air Mineral;Minuman;Bandung;5;4000;20000;completed;Budi;C1054
TX-0037;2025-01-24;Minyak Goreng;Makanan;Medan;1;18000;18000;completed;Budi;C1070
